"","","","I am not a worrier","I like to have a lot of people around me.","I enjoy concentrating on a fantasy or daydream and exploring all its possibilities, letting it grow and develop.","I try to be courteous to everyone I meet.","I keep my belongings neat and clean.","At times I have felt bitter and resentful.","I laugh easily.","I think it's interesting to learn and develop new hobbies.","At times I bully or flatter people into doing what I want them to.","I'm pretty good about pacing myself so as to get things done on time.","When I'm under a great deal of stress, sometimes I feel like I'm going to pieces.","I prefer jobs that let me work alone without being bothered by other people.","I am intrigued by the patterns I find in art and nature.","Some people think I'm selfish and egotistical.","I often come into situations without being fully prepared.","I rarely feel lonely or blue.","I really enjoy talking to people.","I believe letting students hear controversial speakers can only confuse and mislead them.","If someone starts a fight, I'm ready to fight back.","I try to perform all the tasks assigned to me conscientiously.","I often feel tense and jittery.","I like to be where the action is.","Poetry has little or no effect on me.","I'm better than most people, and I know it.","I have a clear set of goals and work toward them in an orderly fashion.","Sometimes I feel completely worthless.","I shy away from crowds of people.","I would have difficulty just letting my mind wander without control or guidance.","When I've been insulted, I just try to forgive and forget.","I waste a lot of time before settling down to work.","I rarely feel fearful or anxious.","I often feel as if I'm bursting with energy.","I seldom notice the moods or feelings that different environments produce.","I tend to assume the best about people.","I work hard to accomplish my goals.","I often get angry at the way people treat me.","I am a cheerful, high-spirited person.","I experience a wide range of emotions or feelings.","Some people think of me as cold and calculating.","When I make a commitment, I can always be counted on to follow through.","Too often, when things go wrong, I get discouraged and feel like giving up.","I don't get much pleasure from chatting with people.","Sometimes when I am reading poetry or looking at a work or art, I feel a chill or wave of excitement.","I have no sympathy for beggars.","Sometimes I'm not as dependable or reliable as I should be.","I am seldom sad or depressed.","My life is fast-paced.","I have little interest in speculating on the nature of the universe or the human condition.","I generally try to be thoughtful and considerate.","I am a productive person who always gets the job done.","I often feel helpless and want someone else to solve my problems.","I am a very active person.","I have a lot of intellectual curiosity.","If I don't like people, I let them know it.","I never seem to be able to get organized.","At times I have been so ashamed I just wanted to hide.","I would rather go my own way than be a leader of others.","I often enjoy playing with theories or abstract ideas.","If necessary, I am willing to manipulate people to get what I want.","I strive for excellence in everything I do.","N Total","E TOTAL","O TOTAL","A TOTAL","C TOTAL","SEX","Age","N T-score","E T-score","O T- Score","A T-Score","C T-Score"
"URSI","Subject Type","Visit","NEOFFI_01","NEOFFI_02","NEOFFI_03","NEOFFI_04","NEOFFI_05","NEOFFI_06","NEOFFI_07","NEOFFI_08","NEOFFI_09","NEOFFI_10","NEOFFI_11","NEOFFI_12","NEOFFI_13","NEOFFI_14","NEOFFI_15","NEOFFI_16","NEOFFI_17","NEOFFI_18","NEOFFI_19","NEOFFI_20","NEOFFI_21","NEOFFI_22","NEFFI_23","NEOFFI_24","NEOFFI_25","NEOFFI_26","NEOFFI_27","NEOFFI_28","NEOFFI_29","NEOFFI_30","NEOFFI_31","NEOFFI_32","NEOFFI_33","NEOFFI_34","NEOFFI_35","NEOFFI_36","NEOFFI_37","NEOFFI_38","NEOFFI_39","NEOFFI_40","NEOFFI_41","NEOFFI_42","NEOFFI_43","NEOFFI_44","NEOFFI_45","NEOFFI_46","NEOFFI_47","NEOFFI_48","NEOFFI_49","NEOFFI_50","NEOFFI_51","NEOFFI_52","NEOFFI_53","NEOFFI_54","NEOFFI_55","NEOFFI_56","NEOFFI_57","NEOFFI_58","NEOFFI_59","NEOFFI_60","NEOFFI_61","NEOFFI_62","NEOFFI_63","NEOFFI_64","NEOFFI_65","NEOFFI_66","NEOFFI_67","NEOFFI_68","NEOFFI_69","NEOFFI_70","NEOFFI_72","NEOFFI_73"
"A00019903","Older Adult- Age 65-85","","2","2","2","4","4","3","4","4","2","1","1","1","3","2","1","3","3","4","2","2","1","2","2","2","3","1","1","3","3","1","3","2","3","2","2","1","3","3","4","3","1","1","3","3","3","2","3","3","4","2","3","3","3","3","1","0","2","1","3","3","21","27","34","34","26","1","83","53","50","61","57","40"
"A00031605","Adult- Age 22-59","","3","2","2","4","4","3","2","3","3","3","1","2","3","3","3","2","3","3","1","4","0","2","1","4","3","1","3","1","3","3","1","1","3","1","4","3","2","3","1","4","1","3","1","2","3","2","1","2","4","3","0","1","3","2","3","0","2","3","3","3","17","24","28","31","40","2","39","43","42","48","45","61"
"A00035765","Adult- Age 22-59","","0","2","4","4","4","3","4","4","4","4","1","1","4","4","2","2","4","4","2","3","0","2","3","4","3","1","4","3","3","4","2","1","0","4","4","0","4","3","4","4","1","4","4","2","3","2","3","3","4","4","0","2","3","1","4","1","3","3","4","3","13","34","38","40","42","2","40","38","58","64","61","64"
"A00037510","Older Adult- Age 60-64","","0","2","1","3","3","1","3","4","3","3","1","1","4","3","3","2","3","3","3","4","1","3","2","2","2","1","3","4","3","2","1","2","1","3","3","1","3","1","1","3","1","4","4","2","3","1","3","4","3","3","1","3","3","4","3","1","1","3","3","3","12","31","34","33","35","2","60","37","53","58","49","53"
"A00037646","Adult- Age 22-59","","2","2","0","4","4","3","3","4","4","4","0","2","3","4","4","0","4","4","4","4","0","2","3","4","4","0","4","2","1","4","0","2","3","2","4","2","4","1","4","4","1","4","1","4","4","2","1","4","4","4","0","4","4","2","4","0","4","3","4","4","10","36","32","41","48","2","53","35","61","54","63","73"
"A00035337","Older Adult- Age 65-85","","2","3","1","3","3","3","3","4","4","2","3","2","4","2","1","1","4","2","3","3","2","3","3","3","1","3","4","1","4","1","3","1","3","3","1","0","3","3","3","3","2","4","3","3","1","1","4","3","3","2","3","3","3","3","3","0","3","0","4","1","23","37","30","38","22","2","81","51","63","51","58","33"
"A00039461","Adult- Age 22-59","","1","2","1","4","4","1","4","3","4","3","0","1","4","4","3","1","4","4","2","3","0","2","4","2","2","0","3","3","3","2","1","2","3","1","3","2","3","3","4","4","1","4","4","4","4","0","2","3","4","4","0","2","4","3","2","0","3","3","4","3","7","32","39","39","37","1","45","33","58","69","66","58"
"A00035588","Adult- Age 22-59","","3","3","2","4","4","2","4","4","2","3","3","4","4","4","4","3","4","4","2","4","1","4","4","3","3","2","4","2","1","4","3","3","4","2","4","1","2","4","2","4","0","4","0","4","4","4","4","4","4","4","0","4","4","0","3","4","4","3","3","4","26","44","39","31","45","1","24","60","75","69","52","71"
"A00029303","Adult-Age 18-21","","4","3","2","4","1","1","3","3","4","2","3","3","1","3","1","2","3","3","2","2","3","2","2","4","2","1","3","2","3","2","3","2","4","2","4","2","3","3","4","4","2","3","1","1","3","4","2","3","4","3","1","3","2","2","1","0","2","2","4","4","26","32","28","37","29","2","19","55","55","48","56","44"
